,num,link
0,0,/ru.ru/word/409/avtomobil/0/?q=%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C
1,1,/ru.ru/word/6745/ad/0/?q=%D0%B0%D0%B4
2,2,/ru.ru/word/446/adres/0/?q=%D0%B0%D0%B4%D1%80%D0%B5%D1%81
3,3,/ru.ru/word/23010/aziia/0/?q=%D0%90%D0%B7%D0%B8%D1%8F
4,4,/ru.ru/word/6404/amerika/0/?q=%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0
5,5,/ru.ru/word/1622/angliia/0/?q=%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D1%8F
6,6,/ru.ru/word/17484/aromat/0/?q=%D0%B0%D1%80%D0%BE%D0%BC%D0%B0%D1%82
7,7,/ru.ru/word/1286/afrika/0/?q=%D0%B0%D1%84%D1%80%D0%B8%D0%BA%D0%B0
8,8,/ru.ru/word/1694/bednyi/0/?q=%D0%B1%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9
9,9,/ru.ru/word/5933/beigel/0/?q=%D0%B1%D0%B5%D0%B9%D0%B3%D0%B5%D0%BB
10,10,/ru.ru/word/18236/belarus/0/?q=%D0%91%D0%B5%D0%BB%D0%B0%D1%80%D1%83%D1%81%D1%8C
11,11,/ru.ru/word/1450/bliznetsy/0/?q=%D0%B1%D0%BB%D0%B8%D0%B7%D0%BD%D0%B5%D1%86%D1%8B
12,12,/ru.ru/word/1695/bogatyi/0/?q=%D0%B1%D0%BE%D0%B3%D0%B0%D1%82%D1%8B%D0%B9
13,13,/ru.ru/word/1546/bolgariia/0/?q=%D0%B1%D0%BE%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F
14,14,/ru.ru/word/1435/brat/0/?q=%D0%B1%D1%80%D0%B0%D1%82
15,15,/ru.ru/word/1491/briuki/0/?q=%D0%B1%D1%80%D1%8E%D0%BA%D0%B8
16,16,/ru.ru/word/1309/bumaga/0/?q=%D0%B1%D1%83%D0%BC%D0%B0%D0%B3%D0%B0
17,17,/ru.ru/word/1136/buterbrod/0/?q=%D0%B1%D1%83%D1%82%D0%B5%D1%80%D0%B1%D1%80%D0%BE%D0%B4
18,18,/ru.ru/word/1507/biustgalter/0/?q=%D0%B1%D1%8E%D1%81%D1%82%D0%B3%D0%B0%D0%BB%D1%8C%D1%82%D0%B5%D1%80
19,19,/ru.ru/word/21088/velikobritaniia/0/?q=%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B1%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F
20,20,/ru.ru/word/4062/vengriia/0/?q=%D0%B2%D0%B5%D0%BD%D0%B3%D1%80%D0%B8%D1%8F
21,21,/ru.ru/word/19399/venesuela/0/?q=%D0%92%D0%B5%D0%BD%D0%B5%D1%81%D1%83%D1%8D%D0%BB%D0%B0
22,22,/ru.ru/word/1338/vesna/0/?q=%D0%B2%D0%B5%D1%81%D0%BD%D0%B0
23,23,/ru.ru/word/563/vecher/0/?q=%D0%B2%D0%B5%D1%87%D0%B5%D1%80
24,24,/ru.ru/word/1265/voda/0/?q=%D0%B2%D0%BE%D0%B4%D0%B0
25,25,/ru.ru/word/11684/voniat/0/?q=%D0%B2%D0%BE%D0%BD%D1%8F%D1%82%D1%8C
26,26,/ru.ru/word/1828/vopros/0/?q=%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81
27,27,/ru.ru/word/8085/vopros/0/?q=%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81
28,28,/ru.ru/word/437/voskresene/0/?q=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%8C%D0%B5
29,29,/ru.ru/word/454/vremia/0/?q=%D0%B2%D1%80%D0%B5%D0%BC%D1%8F
30,30,/ru.ru/word/1745/vtornik/0/?q=%D0%B2%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D0%BA
31,31,/ru.ru/word/429/vchera/0/?q=%D0%B2%D1%87%D0%B5%D1%80%D0%B0
32,32,/ru.ru/word/11755/vyzhivat/0/?q=%D0%B2%D1%8B%D0%B6%D0%B8%D0%B2%D0%B0%D1%82%D1%8C
33,33,/ru.ru/word/23091/germaniia/0/?q=%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F
34,34,/ru.ru/word/7517/gitara/0/?q=%D0%B3%D0%B8%D1%82%D0%B0%D1%80%D0%B0
35,35,/ru.ru/word/412/glukhoi/0/?q=%D0%B3%D0%BB%D1%83%D1%85%D0%BE%D0%B9
36,36,/ru.ru/word/7959/glukhota/0/?q=%D0%B3%D0%BB%D1%83%D1%85%D0%BE%D1%82%D0%B0
37,37,/ru.ru/word/536/god/0/?q=%D0%B3%D0%BE%D0%B4
38,38,/ru.ru/word/1617/gollandiia/0/?q=%D0%B3%D0%BE%D0%BB%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F
39,39,/ru.ru/word/413/gorod/0/?q=%D0%B3%D0%BE%D1%80%D0%BE%D0%B4
40,40,/ru.ru/word/3895/gorod/0/?q=%D0%B3%D0%BE%D1%80%D0%BE%D0%B4
41,41,/ru.ru/word/1083/gorshok/0/?q=%D0%B3%D0%BE%D1%80%D1%88%D0%BE%D0%BA
42,42,/ru.ru/word/1612/gretsiia/0/?q=%D0%B3%D1%80%D0%B5%D1%86%D0%B8%D1%8F
43,43,/ru.ru/word/1480/grustnyi/0/?q=%D0%B3%D1%80%D1%83%D1%81%D1%82%D0%BD%D1%8B%D0%B9
44,44,/ru.ru/word/17352/guba/0/?q=%D0%B3%D1%83%D0%B1%D0%B0
45,45,/ru.ru/word/1581/daniia/0/?q=%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F
46,46,/ru.ru/word/1445/dvoiurodnoi-brat-dvoiurodnaia-sestra/0/?q=%D0%B4%D0%B2%D0%BE%D1%8E%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9+%D0%B1%D1%80%D0%B0%D1%82+-+%D0%B4%D0%B2%D0%BE%D1%8E%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F+%D1%81%D0%B5%D1%81%D1%82%D1%80%D0%B0
